card-heading,slick-prev,slick-next,slick-active,slick-dots,slick-dots 2,slick-dots 3,slick-dots 4,must-visit,rating-badge,light,objective,objective 2,readMoreSmall
1. Ahobilam Temple,Previous,Next,1.0,2.0,3.0,4.0,5.0,Top Attraction,3.4,/5,37 km from city center,Temple,Ahobilam is a small village renowned for Lord Narasimha Swamy Temple. The Ahobilam temple is dedicated to Lord Lakshmi Narasimha Swamy. The temple complex has temples of Adi Lakshmi Devi Temple and Chenchu Lakshmi Devi. It is the only temple where all the nine forms of the deity are worshipped. Ahobilam is believed to be in the middle of Adishesha and expands all over the Nalmalla Hills.
"2. ISKCON Temple, Anantapur",Previous,Next,1.0,2.0,3.0,,,Top Attraction,3.5,/5,4 km from city center,Temple,"Like all other Iskcon Temples built around the world, the one at Anantapur is just as beautiful. The temple is in the shape of a horse drawn chariot, with statues of four huge horses in front of the temple."
3. Bugga Ramalingeswara Swami Temple,Previous,Next,1.0,2.0,3.0,,,,3.1,/5,51 km from city center,Temple,"Another very known temple of the area is The Bugga Ramalingeswara Swami Temple. Dedicated to Lord Shiva, the temple is also known as Ramalingeswara Swami Temple."
4. Penukonda Fort,,,1.0,,,,,,3.1,/5,67 km from city center,Forts & Palaces,"The Penukonda Fort is one of the main attractions of Anantapur. Located at a distance of nearly 70-km from Anantapur, the fort derived its name from the word Penukonda, which literally means big hill."
5. Thimmamma Marrimanu,Previous,Next,1.0,2.0,3.0,4.0,5.0,,3.6,/5,107 km from city center,Landmark,Thimmamma Marrimanu is a huge banyan tree which is located at  about 70 Km from Horsely Hills. This historical tree is situated in the district of Ananthpur. The name of this tree is preserved by the local people since ancient times.
6. Gooty Fort,Previous,Next,1.0,2.0,3.0,4.0,5.0,,3.1,/5,49 km from city center,Forts & Palaces,"The Ravadurg Gooty Fort is one of the oldest hill forts of Andhra Pradesh. The fort structure replicates a shell. The fort is full of inscribed walls, pillars and doors."
7. Hanuman Statue at Mounagiri,Previous,Next,1.0,2.0,3.0,4.0,,,3.1,/5,34 km from city center,Monument,"A recent addition to the array of tourist spots Anantapur offers is the Idol of Lord Hanuman. Built several feet high, the idol is magnificent and can be seen from several km far too. There is a temple there, for those who wish to pray."
8. Rayadurg,Previous,Next,1.0,2.0,3.0,4.0,5.0,,,,80 km from city center,Town,"Built at a height of 2,727 feet above the sea level, Rayadurg is a town packed to the brim with monuments harbouring rich cultural heritage. Located in western Andhra Pradesh at the Karnataka border, this small town draws tourists from all over the country and beyond to its majestic yet ruinous forts and temples as well as the many centres of exceptional artisanship."
9. Veera Bhadra Temple,Previous,Next,1.0,2.0,3.0,4.0,5.0,Top Attraction,3.4,/5,,Temple,"Veerabhadra Temple is located in Lepakshi village, which is 15 km east of Hindupur in the Anantapur district. Dedicated to Lord Veerbhadra, the temple was built back in 16th century."
10. Anantapur Clock Tower,,,1.0,,,,,Top Attraction,3.4,/5,0 km from city center,Monument,"The Anantapur Clock Tower is the landmark of the city Anantapur. It was built during the time India got freedom and to this day, it stands tall. The clock tower is in the middle of the road."
11. Shopping in Anantapur,,,,,,,,,3.0,/5,3 km from city center,Shopping,"There aren't many shopping opportunities in Anantapur, but basic provisions can be sourced from local stores and local handicrafts in little kiosks around the city."
12. Tadipatri,,,,,,,,,,,51 km from city center,Town,"Ancient temples with relics from centuries back in await you within the temples of Tadipatri. Built during the golden years of the Vijaynagar Empire, this retreat situated on the Western side of Andhra Pradesh is guaranteed to leave any visitor enchanted. If you’re someone fascinated with history or interested in architecture, then Tadipatri should be your holiday destination."
