card-heading,hotel-neighbourhood,hotel-neighbourhood 2,rating-badge,rating-count,hotel-featured-data,price,text-muted,card-body
"1. Welcomhotel By ITC Hotels, Guntur",2.0 kms from Madanapalle Road Station,# 1  hotel in  Guntur,8.3,(392 reviews),5 star hotel with 9 room options,"₹5,250",onwards,
2. Hotel Geetha Regency,400 m from Guntur Junction Station,# 2  hotel in  Guntur,8.2,(38 reviews),,"₹3,302",onwards,
"3. Sree Fortune Grand, Tadepalli",6.2 kms from Pankala Narasimha Temple,# 3  hotel in  Guntur,8.9,(27 reviews),Hotel with 2 room options,"₹4,380",onwards,
4. The Capital Hotel,2.2 kms from Madanapalle Road Station,# 4  hotel in  Guntur,7.7,(68 reviews),Hotel with 7 room options,"₹4,799",onwards,"Facilities:
     Wifi, Bar, Garden, Concierge Service, Food, Shuttle Service"
"5. Voyage Annapurna De Royal, Guntur",1000 m from Madanapalle Road Station,# 5  hotel in  Guntur,7.6,(33 reviews),,"₹4,267",onwards,
6. Super OYO RSL Luxury Rooms Amaravathi Road,3.6 kms from Madanapalle Road Station,# 6  hotel in  Guntur,7.5,(78 reviews),,"₹1,310",onwards,
7. V Royal Park,300 m from Guntur Junction Station,# 7  hotel in  Guntur,7.3,(79 reviews),,"₹4,045",onwards,
8. OYO Hotel Rajadhani,300 m from Madanapalle Road Station,# 8  hotel in  Guntur,7.3,(38 reviews),,"₹1,437",onwards,
"9. Treebo Abhi Suites, Guntur",400 m from Guntur Junction Station,# 9  hotel in  Guntur,7.2,(56 reviews),Hotel with 4 room options,"₹5,314",onwards,"Facilities:
     Wifi, Bar, Food"
10. Super OYO Flagship Hotel Aditya Grand Inn,400 m from Guntur Junction Station,# 10  hotel in  Guntur,7.0,(56 reviews),,"₹1,014",onwards,
11. RK GRAND LUXURY AC ROOMS,500 m from Madanapalle Road Station,# 11  hotel in  Guntur,7.4,(26 reviews),5 star hotel with 2 room options,"₹4,050",onwards,"Facilities:
     Wifi, Food"
12. OYO J3 LUXURY ROOMS,3.1 kms from Madanapalle Road Station,# 12  hotel in  Guntur,8.2,(26 reviews),,"₹1,383",onwards,
13. Super Capital O Hotel Aditya Grand,800 m from Madanapalle Road Station,# 13  hotel in  Guntur,6.4,(149 reviews),,"₹1,135",onwards,
14. Super Hotel O Amaravathi Road Annapurna Nagar,3.6 kms from Madanapalle Road Station,# 14  hotel in  Guntur,8.7,(21 reviews),,"₹2,363",onwards,"Facilities:
     Wifi, Bar, Pets Allowed, Food"
15. Hotel Devi Guest Rooms,2.8 kms from Madanapalle Road Station,# 15  hotel in  Guntur,5.9,(44 reviews),,,,
16. Super OYO Hotel O Aditya Grand Inn,400 m from Guntur Junction Station,# 16  hotel in  Guntur,5.8,(88 reviews),,"₹2,401",onwards,"Facilities:
     Wifi, Bar, Food"
17. Hotel Jaya Fortune,600 m from Madanapalle Road Station,# 17  hotel in  Guntur,5.8,(38 reviews),,"₹1,496",onwards,
18. HOTEL SIDDHARTHA,500 m from Madanapalle Road Station,# 18  hotel in  Guntur,5.7,(95 reviews),,₹983,onwards,
19. Capital O Aditya Grand,800 m from Madanapalle Road Station,# 19  hotel in  Guntur,5.7,(64 reviews),Hotel with only 1 room option,"₹2,752",onwards,"Facilities:
     Wifi, Bar, Food"
20. HOTEL ASWINI GRAND LODGE,1.4 kms from Guntur Junction Station,# 20  hotel in  Guntur,5.6,(115 reviews),5 star hotel with 5 room options,₹899,onwards,"Facilities:
     Wifi"
21. Hotel Garuda Guntur,300 m from Guntur Junction Station,# 21  hotel in  Guntur,5.4,(41 reviews),Hotel with 6 room options,₹999,onwards,"Facilities:
     Wifi, Bar"
22. Hotel Siddhartha,700 m from Madanapalle Road Station,# 22  hotel in  Guntur,5.5,(29 reviews),Hotel with 8 room options,"₹1,300",onwards,"Facilities:
     Bar, Wifi, Pets Allowed, Garden, Food, Shuttle Service"
23. Ostin Viceroy Grand,300 m from Guntur Junction Station,# 23  hotel in  Guntur,6.6,(23 reviews),,"₹2,876",onwards,
24. Spot On V GUST IN,1.3 kms from Tenali Junction Station,# 24  hotel in  Guntur,5.1,(50 reviews),Hotel with only 1 room option,"₹1,562",onwards,"Facilities:
     Wifi, Bar, Food"
25. SV Royal Luxury Rooms,500 m from Madanapalle Road Station,# 25  hotel in  Guntur,7.2,(18 reviews),,"₹3,411",onwards,
26. SPOT ON Swarna Mayuri,1.4 kms from Guntur Junction Station,# 26  hotel in  Guntur,3.7,(35 reviews),Hotel with 2 room options,"₹1,927",onwards,"Facilities:
     Wifi, Food"
27. Super OYO Hotel O Varsha Grand Residence,1.3 kms from Guntur Junction Station,# 27  hotel in  Guntur,3.6,(44 reviews),4 star hotel with 3 room options,"₹1,860",onwards,"Facilities:
     Wifi, Bar, Food"
28. Hotel O Rajadhani,300 m from Madanapalle Road Station,# 28  hotel in  Guntur,6.1,(17 reviews),,"₹2,831",onwards,"Facilities:
     Wifi, Bar, Pets Allowed, Food"
29. OYO Hotel Viceroy Inn,500 m from Madanapalle Road Station,# 29  hotel in  Guntur,3.1,(20 reviews),,"₹3,771",onwards,
"30. Atlantis Resort Spa Restaurant Swimming Pool, Banquet Hall, Guntur.",4.4 kms from Madanapalle Road Station,# 30  hotel in  Guntur,6.3,(13 reviews),Hotel with 2 room options,"₹2,499",onwards,"Facilities:
     Wifi, Spa, Pets Allowed, Pool, Food"
31. Hotel O Jaya Fortune,600 m from Madanapalle Road Station,# 31  hotel in  Guntur,5.2,(13 reviews),Hotel with only 1 room option,"₹3,389",onwards,"Facilities:
     Wifi, Bar, Food"
32. Goutham Grand Hotel,300 m from Tenali Junction Station,# 32  hotel in  Guntur,8.1,(11 reviews),Hotel with 2 room options,"₹4,200",onwards,
33. OYO Flagship Hotel Elite Fortune Inn,1.3 kms from Madanapalle Road Station,# 33  hotel in  Guntur,4.5,(11 reviews),,"₹1,298",onwards,
34. Hotel Amaravathi,500 m from Madanapalle Road Station,# 34  hotel in  Guntur,4.9,(10 reviews),,"₹2,249",onwards,
35. Kyriad Vajram Guntur,300 m from Madanapalle Road Station,# 35  hotel in  Guntur,6.4,(9 reviews),Apartment with 3 room options,"₹6,600",onwards,
36. Hotel O GANESH MAHALAKMI INN,3.6 kms from Madanapalle Road Station,# 36  hotel in  Guntur,4.4,(8 reviews),Hotel with only 1 room option,"₹2,562",onwards,"Facilities:
     Wifi, Bar, Food"
37. OYO HOTEL AMARAVATHI RESIDENCY,800 m from Guntur Junction Station,# 37  hotel in  Guntur,2.3,(10 reviews),,"₹1,755",onwards,
38. HOTeL DVR GRAND,300 m from Guntur Junction Station,# 38  hotel in  Guntur,8.7,(6 reviews),Hotel with 5 room options,"₹2,160",onwards,"Facilities:
     Food"
39. SPOT ON Sri Surya Lodge,600 m from Madanapalle Road Station,# 39  hotel in  Guntur,3.2,(5 reviews),Hotel with only 1 room option,"₹1,425",onwards,"Facilities:
     Wifi"
40. Hotel O AMARAVATHI RESIDENCY,800 m from Guntur Junction Station,# 40  hotel in  Guntur,3.0,(5 reviews),Hotel with only 1 room option,"₹1,749",onwards,"Facilities:
     Wifi"
41. SPOT ON 69409 Hotel Sri New Sai Chandra,200 m from Guntur Junction Station,# 41  hotel in  Guntur,2.8,(5 reviews),,"₹1,305",onwards,
42. OYO MOON LIGHT GUEST ROOMS,3.9 kms from Madanapalle Road Station,# 42  hotel in  Guntur,4.1,(4 reviews),,"₹1,438",onwards,
43. OYO Hotel Aishwarya Grand Lodge,1.3 kms from Guntur Junction Station,# 43  hotel in  Guntur,3.7,(4 reviews),,"₹1,370",onwards,
44. 40630 Sriman Inn,2.6 kms from Madanapalle Road Station,# 44  hotel in  Guntur,2.7,(4 reviews),,"₹1,189",onwards,
45. S V Royal Luxury Rooms,500 m from Madanapalle Road Station,# 45  hotel in  Guntur,6.3,(3 reviews),Hotel with 2 room options,,,"Facilities:
     Wifi, Food"
46. Hotel O MOON LIGHT GUEST ROOMS,3.9 kms from Madanapalle Road Station,# 46  hotel in  Guntur,5.7,(3 reviews),Hotel with only 1 room option,"₹3,078",onwards,"Facilities:
     Wifi, Bar, Food"
47. Hotel O SS Grand,3.0 kms from Guntur Junction Station,# 47  hotel in  Guntur,4.0,(3 reviews),,"₹2,631",onwards,"Facilities:
     Wifi, Bar, Food"
48. OYO Hotel SS Grand,3.0 kms from Guntur Junction Station,# 48  hotel in  Guntur,6.6,(2 reviews),,"₹1,661",onwards,
49. Super OYO Hotel O J3 LUXURY ROOMS,3.1 kms from Madanapalle Road Station,# 49  hotel in  Guntur,5.0,(2 reviews),Hotel with only 1 room option,"₹2,788",onwards,"Facilities:
     Wifi"
50. Hotel O Elite Fortune Inn,1.3 kms from Madanapalle Road Station,# 50  hotel in  Guntur,4.5,(2 reviews),,"₹2,476",onwards,"Facilities:
     Wifi"
