card-heading,slick-prev,slick-next,slick-active,slick-dots,slick-dots 2,slick-dots 3,slick-dots 4,rating-badge,light,objective,objective 2,readMoreSmall,must-visit
1. Sri Venkateshwara National Park,Previous,Next,1.0,2.0,3.0,4.0,5.0,3.1,/5,67 km from city center,National Park,"Located about 10 km from Tirupati and on the Eastern Ghats, Venkateshwara National Park and biosphere reserve is a quintessence of Mother Nature's generosity.",
2. Srikalahasti Temple,Previous,Next,1.0,2.0,3.0,4.0,5.0,3.6,/5,88 km from city center,Temple,"Situated in Chittoor, Srikalahasti Temple is popular among devotees who visit the temple along with the highly revered Tirupati Temple, which is just 36 km away. Dedicated to Lord Shiva, Kalahasti temple has immense religious importance for Hindus and was constructed in the year 1516 by Krishnadevraya, a king of the Vijayanagara empire.",
3. Nagalapuram,Previous,Next,1.0,2.0,3.0,4.0,5.0,,,78 km from city center,Waterfall,Nagalapuram is one of the most beautiful hill stations in Chittoor district and a very well known trekking destination all over the country. The path here motivate the trekkers at every pitstop with the most beautiful and heartwarming views of the four waterfalls.,
4. Horsley Hills,Previous,Next,1.0,2.0,3.0,4.0,5.0,4.1,/5,90 km from city center,Hills & Valleys,"Located near the southwestern border between  and , Horsley Hills refers to a hill station that is the perfect amalgam of the c",Top Attraction
5. Kailasakona Waterfalls,,,,,,,,3.4,/5,68 km from city center,Waterfall,"Situated in Nagari Valley near Tirupati, Kailasakonda Waterfalls are beautiful perennial waterfalls with an interesting story behind them. Legend has it that Lord Kailasanatheshwara performed the marriage of Lord Venkateshwara Swami and Goddess Padmavati and later performed penance here.",Top Attraction
6. Kaigal Falls,,,,,,,,,,61 km from city center,Waterfall,"Also known as Dumukuralla Waterfalls, Kaigal Falls is situated right in the middle of Koundinya Wildlife Sanctuary in Chittoor. The highlight of the spot is a shivalinga statue installed right in the centre of the falls.",
7. Kanipakam Vinayaka temple,,,,,,,,4.1,/5,10 km from city center,Temple,"Located in Kanipakam, about 11 km from Chittoor town, this 11th Century temple constructed by the Cholas and later expanded by the emperors of Vijayanagar dynasty, has a fascinating legend associated with it.",Top Attraction
8. Shopping in Chittoor,,,,,,,,3.0,/5,59 km from city center,Shopping,Chittoor is commonly known as the Mango city owing to its plethora of export quality mangoes,
9. Tirumala Venkateshwara Temple,,,,,,,,3.5,/5,53 km from city center,Temple,"Needless to say, this world renowned temple is a must visit on a trip to Chittoor. Located on the seventh peak, Venkatachala, of the Tirupati hill, this temple houses the most breathtaking idol of Lord Venkateshwara, and it is said that a look at the idol is sure to leave one spellbound.",Top Attraction
10. Mango Market Yard - Bangarupalyam and Penumur Mandals and Damalcheruvu,,,,,,,,3.1,/5,30 km from city center,Shopping,"Known for its juicy, delectable mangoes, Chittoor offers around 58 varieties of the King of Fruits to its customers. The mangoes are grown in this region and are of export quality. Horde your bags with the mouth watering mangoes on your way back home",
11. Tada Falls,,,1.0,,,,,,,91 km from city center,Waterfall,"Also known as Ubbalamadugu Falls, Tada Falls is a mesmerising waterfall located in the dense woods of Siddulaiah Kona. The place is a top hit among adventure enthusiasts and nature seekers. The place also has a Shiva temple and Pulicat Lake nearby.",
