card-heading,slick-active,must-visit,rating-badge,objective,objective 2,readMoreSmall
1. Chaitanya Jyoti Museum,1.0,Top Attraction,3.4,1 km from city center,Museum,"One of the most beautiful structures in Ashram, is the Chaitanya Jyoti Museum, which houses all stories and incidents of the life of Sai Baba, all the way from his early childhood."
2. Sathya Sai Ashram,1.0,Top Attraction,3.5,0 km from city center,Ashram,"The main attraction of this city, the holy abode of Sathya Sai Baba is known as 'Prashanti Nilayam', literally translates into 'the abode of peace'. The ashram has been pulling visitors since ages and does so through out the year emblematizing one of the most unique and renowned religious organizations in the world, making the town a significant spiritual centre."
3. Wish Fullfilling Tree,1.0,Top Attraction,3.4,0 km from city center,Landmark,"Inside the Ashram is an old Tamarind tree, which nestles in its shade wishes, tales and stories. It is believed, that as a kid Sai Baba would take his friends up to this tree and ask them to think and wish for any fruit that they want to have, and the tree would give theme the same."
4. Sri Sathya Sai Space Theatre (Planetarium),1.0,,3.1,1 km from city center,Planetarium,"Inside the Ashram, one also finds a fascinating Planetarium which on every Thursday conducts a show on space and astronomy with the idea to educate and create more awareness amongst the masses about the disciplines of Physics, Astronomy and Mathematics."
5. Shopping in Puttaparthi,,,3.0,0 km from city center,Shopping,"While in Puttaparthi, one can shop for jewellery, perfumes and fragrant oils, pashmina shawls, books and music. One can also visit the Prashanti Nilayam Shopping Mall."
6. Meditation Tree,,,3.1,0 km from city center,Landmark,"Find inside the Ashram, a Banyan tree that gathers around it much peace, calmness and spirituality. The meditation tree was planted by Sai Baba himself and is a silent zone for meditation in the Ashram."
7. Gokulam,,,3.6,1 km from city center,Ashram,"Puttaparthi is ever divine with the graceful presence of Sri Satya Sai Baba. Tour to this pilgrimage and feel the splendid charisma of the region. The holy place is full of features added by the legend. Though Puttaparthy doesn't boast of attractions like metropolitans, it certainly provides reasons to visit. The colossal complex of Sai Ashram is the main attraction of the town and forms a signifi"
8. Anjaneya (Hanuman) Swamy Temple,,,3.1,53 km from city center,Temple,"One of the many significant religious centre of the town, the Anjaneya Swamy Temple, houses a Siva Linga, believed to be brought by Sathya Sai Baba from Kasim, and a beautiful deity, which too shares a legend with Sathya Sai Baba."
9. Spiritual Museum,,,3.1,0 km from city center,Museum,"Nearby to the University in the ashram is an effort to bring different religions closer. The Spiritual Museum finds foundation in one of Sai Baba's main teachings, that is the unity of religions."
10. Village mosque,,,3.1,0 km from city center,Mosque,"Like all strands of religion in Puttaparthi, this one too is tied is tied to Sai Baba. The mosque finds its roots to a incident when a number of accidents used to occur in the area and Sai Baba was asked for help, who asked them to dig at a specific spot, where they found a plate with Muslim inscriptions."
11. Sathyabhama Temple,,,3.1,0 km from city center,Temple,"Puttaparthi houses the only temple in India, dedicated to Sathyabhama, a lover and consort of Lord Krishna. The beautiful temple finds its origin to a dream that Sai Baba's grandfather had where Sathyabhama appeared and asked him for an abode."
12. Gopuram,,,3.6,0 km from city center,Monument,Gopuram is a large and decorative gate devoted to Lord Ganesha. Built-in 1975 as a birthday commemoration to Sai Baba. The gate is adorned with many multi-coloured idols and stands over the entrance to his Ashram.
13. Samadhi Shrine,,,3.1,0 km from city center,Temple,"Near to the Gopuram, one finds the Samadhi Shrine, a cenotaph dedicated to Sai Baba's parents. The morning prayers are carried here between 9:30Am and 11:30Am and the evening prayers between 4:30PM-6:30PM."
